bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-01_T1w	0.6912578475336324	1.3493854519914006	0.5436	21375.0023	4.546643333333333	4.42905	4.5855	4.62538	0.26399384900992967	0.36900441319960525	0.3670017377904649	0.8275120556354523	0.538523894548416	0.0	0.0002691194765040767	6.279323367539787	6.167820927895533	6.272006344822134	176	256	256	2.2331557971720266	5.165979731322655	6.306025102516526	11.518939779054897	20.36131723298195	32.34893257361202	31.629088024971242	42.17701426831976	1.0	1.0	1.0	3431.4191	0.0	5.904	0.0	4237919.0	0.0	23.0	14.8651	0.1765	145.8637	471.5751	462.0	475617.1264473868	161.0	806.0	206.8819	0.655	88.897	738.8817	734.0	664806.4692060273	505.0	987.0	142.0833	-0.1499	65.2535	944.7385	957.0	661198.4051284952	788.0	1064.0	83.0805	0.2250787998213811	0.5271540330322283	0.5388916736692689	0.5691252713058113
sub-02_T1w	0.9089419354838709	0.912852804778116	0.5472	8787.5505	4.395876666666667	4.13069	4.56831	4.48863	0.2704577957923284	0.35313101115586376	0.37641119305180787	0.9699283242225647	0.5508372843265533	0.0	0.00018196531811637832	7.058974252720923	6.89359755000239	6.980128554584733	176	256	256	1.9480483490050615	4.310684215860693	5.175603730602693	9.268078626942323	16.312128239028745	33.32774448836601	30.381888445199092	41.50579260820251	1.0	1.0	1.0	5311.3405	0.0	7.7682	0.0	4367709.0	0.0	30.0	14.9003	-0.2497	143.6644	410.0947	371.0	435766.739204589	145.0	759.0	190.4468	2.4406	78.4341	755.5458	758.0	568971.3945667489	436.0	1038.0	175.842	-0.5375	90.6291	931.4576	944.0	606480.8659545691	753.0	1083.0	101.8549	0.19575793008070091	0.5125262188011203	0.5018533524551371	0.4515974802574976
sub-03_T1w	0.7502572916666667	1.3246600883491049	0.5095	20548.7105	4.3054266666666665	4.03622	4.49228	4.38778	0.25758582842106	0.3772067725449739	0.36520739903396604	0.8314565420150757	0.43729935586452473	0.0	0.0001799784623887101	7.314728435605241	7.1939804057427725	7.283497673414752	176	256	256	2.218499536453758	6.213411080030603	6.456373698052352	10.937210477672695	31.1919470537314	48.13979143599138	46.71098484085922	60.80121603285487	1.0	1.0	1.0	3676.6823	0.0	5.7614	0.0	4354954.0	0.0	23.0	9.9346	-0.2767	146.9383	471.6716	473.0	400046.76208964037	126.0	808.0	213.2069	-0.3489	79.4607	736.3164	730.0	585825.5049195975	551.0	945.0	117.4877	0.1245	64.5887	912.8273	922.0	567189.7338851129	759.0	1038.0	84.2993	0.22833967766892224	0.5406490453615843	0.5506503469479782	0.6096224352160715
sub-04_T1w	0.8655	1.0882477869660017	0.5138	10293.6501	4.071746666666667	4.03834	3.99432	4.18258	0.2654392461083664	0.3684172921821989	0.3661434617094348	0.8859608769416809	0.5665783584117889	0.0	0.00031284438928064884	7.699727689244194	7.547973961219994	7.622993412096547	176	256	256	1.8938185778385612	5.886999061163475	5.97674504503166	10.149417496092948	15.076809089951254	28.15548685472825	25.939377566807703	34.5858367557436	1.0	1.0	1.0	3678.3554	0.0	7.2784	0.0	4476842.0	0.0	28.0	18.0331	-0.7142	177.7646	430.9622	415.0	393060.04675890226	78.0	798.0	219.1337	-0.5127	78.8046	779.8048	775.0	545549.0106116564	566.0	1007.0	131.6459	-0.2886	74.3889	942.7767	952.0	542181.9429114204	776.0	1084.0	93.7984	0.2093642686147625	0.53728247531739	0.5521122251148939	0.4629868199798099
sub-05_T1w	0.5922765182186235	1.8206760040173602	0.4733	26160.7518	4.367526666666667	4.17071	4.49834	4.43353	0.26376631821774266	0.38287053608417976	0.35336314569807764	0.6763398051261902	0.3530755937099457	0.0	0.00017483781363335758	7.323126970195516	7.245963286537244	7.334841920829194	176	256	256	1.9800621258990245	6.39009333923847	7.105812189147173	12.947281102304025	45.403898943229294	77.49790788891619	75.63738563119522	104.01035006144014	1.0	1.0	1.0	4.423	0.0	4.2556	0.0	4459945.0	0.0	17.0	6.1035	-0.8612	164.2004	428.5088	423.0	409819.2681005155	88.0	772.0	213.6294	-0.822	87.9217	724.5131	722.0	594873.9927656006	543.0	931.0	112.9873	-0.4225	58.3706	953.8766	969.0	549027.7406235592	807.0	1054.0	74.8419	0.21871925585517712	0.5461606437855728	0.5646654083551932	0.7408737284026802
sub-06_T1w	0.5533152263374486	1.921386646389113	0.4834	38787.1142	4.1936	4.13506	4.17586	4.26988	0.26353473497966895	0.3847165026025724	0.35174876241775865	0.5794613361358643	0.3449284255504607	0.0	0.00014399721051295487	6.4554059081368855	6.39117345089455	6.48235457549781	176	256	256	2.0460895991951156	6.769816429092311	7.864707312005294	14.778215907728454	52.4808865153538	84.01545428993042	82.82619443468484	111.98224249877028	1.0	1.0	1.0	5.7827	0.0	3.8537	0.0	4442148.0	0.0	16.0	5.6924	-0.7805	158.604	455.4211	456.0	463251.10830669175	88.0	801.0	222.8639	-0.7267	83.0265	734.206	730.0	676268.903331719	561.0	934.0	107.8315	-0.2374	51.4291	962.3706	973.0	618316.9897816504	833.0	1052.0	65.8401	0.21573556454699402	0.5281228308537196	0.5492014692019825	0.8412887721565486
sub-07_T1w	0.7412492753623189	1.272400530569052	0.4663	16190.0965	4.0981733333333334	4.06382	4.01013	4.22057	0.2698216426313367	0.3699375303008095	0.3602408270678537	0.7460250854492188	0.46337154209613773	0.0	0.00017939523627771606	8.287630226260502	8.149788465690518	8.230675494281034	176	256	256	1.9599089183233624	5.574194733447594	5.712853605972666	9.604457166147041	30.540616082929517	58.348650726860086	54.62483876587131	74.98524948782432	1.0	1.0	1.0	4.3937	0.0	5.665	0.0	4682681.0	0.0	23.0	8.1515	-0.6097	154.5435	399.192	380.0	371464.53489204723	92.0	735.0	193.8863	-0.3908	76.236	727.7495	726.0	509294.4779824835	509.0	963.0	130.2429	-0.5527	77.2026	912.3005	933.0	495944.98784785555	734.0	1044.0	97.1423	0.21331307678478453	0.5409709589363048	0.5712550995352093	0.659012862638782
sub-08_T1w	0.7772195876288659	1.186782693540909	0.5515	18544.0311	4.469143333333334	4.44863	4.38263	4.57617	0.2565749423345099	0.37582994086421095	0.36759511680127915	0.8690688610076904	0.6378324151039121	0.0	0.0007848957414932418	6.468543987167215	6.342420439482357	6.44235361222016	176	256	256	2.431512955608506	5.797394220474797	6.358140516433445	10.845514373217034	10.091974263610753	14.292317143124622	14.094070871525147	17.897921207840067	1.0	1.0	1.0	861.308	0.0	7.2298	0.0	4190443.0	0.0	24.0	35.2497	0.3912	153.8424	534.5114	543.0	448363.4290213664	159.0	888.0	223.3175	-0.6079	82.9443	776.1621	769.0	656760.9427544251	565.0	1007.0	132.6457	-0.1085	67.8363	955.1957	963.0	642370.6288732276	793.0	1090.0	88.7924	0.22948664767482535	0.5357352988179538	0.5353833159852359	0.4930290931228422
sub-09_T1w	0.7246035353535353	1.3215930631414203	0.5215	25171.9058	4.2984599999999995	4.11583	4.33003	4.44952	0.2599048945792983	0.37738236312673135	0.36271274229397044	0.8374068140983582	0.5510731607675553	0.0	0.00017975531157282725	6.860495078268509	6.733233198449314	6.822259963814272	176	256	256	2.19641491907108	6.14666207949521	6.250947675537122	10.409766028045077	28.460989410806405	45.083679346859284	43.591113091838544	57.22867051784995	1.0	1.0	1.0	5054.082	0.0	5.0738	0.0	4368727.0	0.0	20.0	10.6807	0.2677	152.0664	471.1305	464.0	430059.95100125135	135.0	806.0	211.2531	-0.5504	76.7369	742.4285	735.0	624447.8037157584	552.0	958.0	119.577	-0.2123	66.7346	918.2623	933.0	600174.2461640392	751.0	1046.0	89.6273	0.23010792266036748	0.5374700778341707	0.5483536843413952	0.5196544827184939
sub-10_T1w	0.6137617886178862	1.442918512125117	0.4777	21720.7552	4.4462	4.40961	4.46737	4.46162	0.2767079414159505	0.36752051700934996	0.35577154157469953	0.6601800322532654	0.36903944909572595	0.0	0.00019814326203384595	7.011993091990375	6.896359568625471	6.9710554549623645	176	256	256	1.8563908622519278	4.937024554615016	5.82011515612178	10.666930051498394	29.31177092363189	65.40188887335366	60.88299085596041	87.93531277089566	1.0	1.0	1.0	1534.5533	0.0	4.5053	0.0	4389327.0	0.0	18.0	7.1522	-0.5514	141.1751	351.202	320.0	450171.4462898897	106.0	680.0	172.3773	-0.4308	84.9831	714.6438	714.0	597912.8818518616	467.0	978.0	144.6214	-0.5029	66.0023	935.2464	960.0	578798.6734313292	756.0	1047.0	89.9977	0.18804206568601958	0.5313756210680887	0.5614332354208197	0.8089442755753091
